TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00000	0.00000	0.00000	449.472	69.945	-135.105	-1.571	0.000	-3.141	1	-0.305	52.678	-3.508	-7.853	0.475	0.142	-0.045	0.440	-1.796	0.800	-1.066	-0.472	0.002	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
0.00387	0.00001	0.00000	449.475	69.946	-135.103	-1.571	0.000	-3.141	228	-0.309	52.703	-3.494	-7.859	0.475	0.131	-0.043	0.462	-1.767	0.860	-1.033	-0.483	0.000	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
0.00154	0.00000	0.00000	449.476	69.946	-135.102	-1.571	0.000	-3.141	511	-0.302	52.703	-3.477	-7.841	0.467	0.126	-0.041	0.465	-1.777	0.904	-1.034	-0.488	-0.001	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
0.00119	0.00000	0.00000	449.477	69.946	-135.101	-1.571	0.000	-3.141	762	1.715	52.454	-2.440	-7.658	0.469	0.085	0.022	0.501	-1.774	0.901	-1.031	-0.497	0.000	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
3.58566	0.00694	0.00013	449.511	66.361	-135.034	-1.571	0.000	-3.141	997	0.043	52.747	-3.557	-7.897	0.533	0.207	0.103	-0.898	-1.537	1.418	-0.820	0.295	0.169	-0.021	0.967	0.202	-1.862	-0.487	0.361	-1.016	
6.44377	0.02044	0.00040	449.300	59.922	-135.128	-1.571	0.000	-3.142	1278	-0.128	52.380	-3.399	-7.735	0.473	0.072	0.082	-0.009	-1.723	1.683	-0.884	-0.220	0.111	-0.036	0.966	0.202	-1.865	-0.490	0.359	-1.029	
0.10631	0.00204	0.00023	449.399	59.956	-135.112	-1.571	0.000	-3.141	1532	-0.181	52.621	-3.497	-7.728	0.463	0.076	0.079	-0.130	-1.562	1.536	-0.788	-0.123	0.107	-0.038	0.966	0.202	-1.865	-0.490	0.359	-1.030	
0.45135	0.00012	0.00023	449.430	59.506	-135.116	-1.571	0.000	-3.141	1736	-0.015	52.629	-3.588	-7.669	0.509	0.193	0.114	-0.484	-1.652	1.533	-0.852	0.142	0.168	-0.038	0.966	0.202	-1.865	-0.490	0.359	-1.030	
7.02901	0.01829	0.00002	449.412	52.477	-135.106	-1.571	0.000	-3.141	2017	-1.153	52.524	-4.099	-7.612	0.468	0.196	0.085	-0.584	-1.660	1.494	-0.856	0.157	0.166	-0.052	0.966	0.202	-1.868	-0.492	0.358	-1.041	
2.53574	0.01120	0.00021	449.395	49.941	-135.108	-1.571	0.000	-3.141	2297	-0.239	52.693	-3.532	-7.698	0.457	0.151	0.066	0.043	-1.790	1.507	-0.961	-0.206	0.088	-0.060	0.965	0.202	-1.869	-0.493	0.357	-1.049	
