TRANS_DIST	TIME	A	B	C	MT0	MT1	MT2	MT3	MT4	MT5	MT6	J0	J1	J2	J3	J4	J5	J6	ROT_DIST	X	Y	Z	JS_DIST	FX	FY	FZ	TA	TB	TC	
0.00000	0	-1.571	0.000	-3.141	-0.069	52.719	-3.306	-7.883	0.450	0.146	-0.049	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	0.00000	449.441	69.930	-135.113	0.00000	0.038	-1.718	0.914	-1.007	-0.295	-0.006	
0.00171	214	-1.571	0.000	-3.141	-0.152	52.744	-3.382	-7.874	0.437	0.138	-0.046	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	0.00000	449.443	69.930	-135.112	0.00000	0.135	-1.749	0.924	-1.013	-0.342	-0.010	
0.00089	494	-1.571	0.000	-3.141	-0.147	52.697	-3.374	-7.836	0.437	0.134	-0.045	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	0.00000	449.443	69.930	-135.111	0.00000	0.122	-1.745	0.902	-1.008	-0.338	-0.011	
0.00087	759	-1.571	0.000	-3.141	2.046	52.523	-2.199	-7.638	0.453	0.086	0.036	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	0.00000	449.444	69.930	-135.111	0.00000	0.371	-1.792	0.887	-1.034	-0.438	-0.012	
3.90576	1008	-1.571	0.000	-3.141	0.008	52.756	-3.285	-7.900	0.508	0.209	0.118	-0.022	0.967	0.202	-1.862	-0.487	0.361	-1.017	0.00011	449.479	66.026	-135.027	0.00792	-0.423	-1.773	1.126	-0.992	-0.011	0.131	
6.15751	1290	-1.571	0.000	-3.142	-0.233	52.579	-3.437	-7.715	0.437	0.118	0.078	-0.037	0.966	0.202	-1.865	-0.490	0.359	-1.029	0.00029	449.310	59.872	-135.156	0.02028	-0.087	-1.851	1.283	-0.996	-0.247	0.074	
0.13853	1541	-1.571	0.000	-3.141	-0.167	52.524	-3.377	-7.687	0.428	0.112	0.072	-0.038	0.966	0.202	-1.865	-0.490	0.359	-1.030	0.00022	449.429	59.923	-135.107	0.00122	-0.157	-1.722	1.418	-0.919	-0.184	0.072	
0.42586	1747	-1.571	0.000	-3.141	-0.022	52.568	-3.508	-7.649	0.490	0.198	0.122	-0.038	0.966	0.202	-1.865	-0.490	0.359	-1.030	0.00017	449.433	59.497	-135.115	0.00010	-0.615	-1.790	1.355	-0.948	0.106	0.148	
6.99558	2030	-1.571	0.000	-3.142	-1.108	52.548	-3.986	-7.556	0.428	0.201	0.087	-0.052	0.966	0.202	-1.868	-0.492	0.358	-1.042	0.00010	449.365	52.502	-135.145	0.01855	-0.549	-1.799	1.261	-0.958	0.046	0.133	
2.57495	2308	-1.571	0.000	-3.141	-0.207	52.587	-3.421	-7.698	0.424	0.159	0.063	-0.060	0.965	0.202	-1.869	-0.493	0.357	-1.049	0.00022	449.389	49.928	-135.111	0.01095	-0.019	-1.850	1.211	-1.015	-0.241	0.059	
0.06512	2558	-1.571	0.000	-3.141	2.292	52.384	-2.066	-7.466	0.423	0.093	0.106	-0.060	0.965	0.202	-1.869	-0.493	0.357	-1.049	0.00013	449.451	49.908	-135.103	0.00010	-0.059	-1.812	1.282	-0.983	-0.214	0.063	
4.00185	2810	-1.571	-0.000	3.142	-0.089	52.513	-3.366	-7.516	0.483	0.181	0.119	-0.066	0.965	0.202	-1.870	-0.493	0.356	-1.054	0.00035	449.340	45.908	-135.118	0.00814	-0.432	-1.825	1.388	-0.961	0.022	0.137	
6.06029	3092	-1.571	0.000	-3.142	0.019	52.607	-3.294	-7.606	0.438	0.149	0.078	-0.082	0.964	0.202	-1.872	-0.495	0.355	-1.068	0.00015	449.388	39.848	-135.105	0.02057	-0.073	-1.936	1.169	-1.026	-0.221	0.090	
0.05250	3327	-1.571	-0.000	-3.142	-0.102	52.621	-3.346	-7.611	0.438	0.145	0.067	-0.082	0.964	0.202	-1.872	-0.495	0.355	-1.068	0.00025	449.360	39.891	-135.114	0.00115	-0.181	-1.830	1.322	-0.961	-0.154	0.076	
0.29640	3562	-1.571	0.000	-3.142	0.172	52.488	-3.496	-7.551	0.474	0.192	0.109	-0.082	0.964	0.202	-1.872	-0.495	0.355	-1.068	0.00012	449.363	39.594	-135.118	0.00006	-0.587	-1.804	1.585	-0.937	0.083	0.140	
6.88809	3842	-1.571	-0.000	3.141	-1.735	52.553	-4.418	-7.554	0.465	0.240	0.103	-0.096	0.964	0.202	-1.873	-0.496	0.354	-1.080	0.00015	449.301	32.707	-135.135	0.01801	-1.049	-1.811	1.549	-0.914	0.291	0.163	
