TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00000	0.00000	0.00000	449.354	69.941	-135.129	-1.571	0.000	-3.141	1	-0.274	52.723	-3.430	-7.800	0.432	0.147	-0.046	0.392	-1.897	0.878	-1.111	-0.475	-0.023	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
0.00553	0.00004	0.00000	449.348	69.942	-135.129	-1.571	0.000	-3.141	214	-0.234	52.711	-3.410	-7.841	0.431	0.130	-0.044	0.347	-1.806	0.861	-1.053	-0.461	-0.022	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
0.00184	0.00000	0.00000	449.350	69.942	-135.128	-1.571	0.000	-3.141	495	-0.300	52.712	-3.443	-7.908	0.423	0.127	-0.042	0.368	-1.776	0.845	-1.036	-0.466	-0.020	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
0.00107	0.00000	0.00000	449.351	69.942	-135.127	-1.571	0.000	-3.141	714	1.843	52.682	-2.345	-7.775	0.437	0.090	0.035	0.490	-1.804	0.855	-1.048	-0.520	-0.023	-0.016	0.967	0.202	-1.861	-0.486	0.362	-1.012	
3.68834	0.00722	0.00021	449.496	66.257	-135.042	-1.571	0.000	-3.141	949	0.147	52.766	-3.470	-7.897	0.478	0.214	0.113	-0.837	-1.569	1.406	-0.861	0.213	0.137	-0.021	0.967	0.202	-1.862	-0.487	0.361	-1.016	
6.36230	0.02038	0.00035	449.308	59.898	-135.124	-1.571	0.000	-3.142	1231	-0.167	52.482	-3.399	-7.752	0.416	0.077	0.062	-0.165	-1.680	1.503	-0.863	-0.153	0.070	-0.037	0.966	0.202	-1.865	-0.490	0.359	-1.029	
0.10664	0.00182	0.00022	449.405	59.942	-135.111	-1.571	0.000	-3.141	1482	-0.157	52.797	-3.428	-7.761	0.412	0.083	0.058	-0.137	-1.580	1.334	-0.810	-0.149	0.065	-0.038	0.966	0.202	-1.865	-0.490	0.359	-1.030	
0.42673	0.00009	0.00023	449.435	59.517	-135.114	-1.571	0.000	-3.141	1730	0.056	52.658	-3.484	-7.647	0.458	0.195	0.119	-0.506	-1.662	1.485	-0.870	0.109	0.138	-0.038	0.966	0.202	-1.865	-0.490	0.359	-1.030	
7.00667	0.01833	0.00013	449.422	52.510	-135.120	-1.571	0.000	-3.141	2011	-1.100	52.564	-4.038	-7.585	0.430	0.200	0.083	-0.485	-1.727	1.415	-0.909	0.076	0.133	-0.052	0.966	0.202	-1.868	-0.492	0.358	-1.041	
2.54995	0.01120	0.00018	449.403	49.960	-135.120	-1.571	0.000	-3.141	2293	-0.253	52.611	-3.480	-7.676	0.422	0.151	0.043	0.018	-1.815	1.330	-0.987	-0.234	0.051	-0.060	0.965	0.202	-1.869	-0.493	0.357	-1.049	
0.09105	0.00013	0.00016	449.487	49.934	-135.096	-1.571	0.000	-3.141	2543	2.238	52.512	-2.156	-7.658	0.427	0.106	0.103	0.103	-1.797	1.236	-0.974	-0.265	0.051	-0.060	0.965	0.202	-1.869	-0.493	0.357	-1.049	
3.88764	0.00774	0.00047	449.331	46.049	-135.118	-1.571	-0.000	3.142	2791	-0.070	52.466	-3.392	-7.532	0.460	0.171	0.113	-0.417	-1.761	1.437	-0.914	0.058	0.132	-0.066	0.965	0.202	-1.870	-0.493	0.356	-1.054	
6.18152	0.02081	0.00017	449.383	39.868	-135.111	-1.571	0.000	-3.142	3075	0.004	52.595	-3.331	-7.653	0.414	0.146	0.038	0.038	-1.865	1.408	-0.986	-0.239	0.054	-0.081	0.964	0.202	-1.872	-0.495	0.355	-1.067	
0.05147	0.00129	0.00021	449.352	39.908	-135.116	-1.571	0.000	-3.142	3324	-0.137	52.592	-3.402	-7.644	0.413	0.138	0.037	-0.054	-1.783	1.293	-0.934	-0.185	0.051	-0.082	0.964	0.202	-1.872	-0.495	0.355	-1.068	
0.32168	0.00005	0.00010	449.356	39.587	-135.120	-1.571	0.000	-3.142	3559	0.128	52.410	-3.409	-7.624	0.468	0.182	0.108	-0.379	-1.692	1.506	-0.887	0.023	0.131	-0.082	0.964	0.202	-1.872	-0.495	0.355	-1.068	
6.93742	0.01825	0.00023	449.257	32.650	-135.156	-1.571	0.000	3.141	3840	-1.743	52.516	-4.419	-7.581	0.460	0.228	0.090	-0.975	-1.709	1.549	-0.859	0.286	0.151	-0.096	0.964	0.202	-1.873	-0.496	0.354	-1.080	
2.68952	0.01192	0.00052	449.449	29.968	-135.107	-1.571	0.000	-3.141	4122	-0.160	52.490	-3.432	-7.622	0.426	0.117	0.064	0.028	-1.751	1.395	-0.906	-0.242	0.068	-0.105	0.964	0.202	-1.874	-0.497	0.353	-1.088	
0.03632	0.00007	0.00008	449.441	29.933	-135.109	-1.571	0.000	-3.141	4371	2.163	52.552	-2.210	-7.630	0.423	0.098	0.107	0.023	-1.744	1.373	-0.904	-0.238	0.067	-0.105	0.964	0.202	-1.874	-0.497	0.353	-1.088	
3.60360	0.00719	0.00050	449.289	26.332	-135.150	-1.571	-0.000	3.141	4606	0.212	52.541	-3.287	-7.562	0.466	0.173	0.121	-0.181	-1.748	1.482	-0.888	0.005	0.141	-0.110	0.964	0.202	-1.874	-0.497	0.353	-1.093	
6.43367	0.02116	0.00022	449.385	19.900	-135.109	-1.571	-0.000	-3.142	4885	-0.130	52.504	-3.401	-7.530	0.430	0.168	0.082	-0.499	-1.845	1.424	-0.928	0.057	0.107	-0.126	0.963	0.202	-1.875	-0.499	0.352	-1.107	
