FX	FY	FZ	TA	TB	TC	JS_DIST	TRANS_DIST	ROT_DIST	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	J0	J1	J2	J3	J4	J5	J6	X	Y	Z	A	B	C	
0.017	-1.615	0.546	-1.036	-0.302	0.004	0.00000	0.00000	0.00000	1	-0.091	52.285	-6.212	-7.533	0.554	0.064	-0.038	-0.132	0.994	0.341	-1.861	-0.758	0.420	-0.798	449.440	69.943	-135.125	-1.571	0.000	-3.141	
-0.054	-1.577	0.600	-1.007	-0.263	0.008	0.00001	0.00112	0.00000	213	-0.148	52.282	-6.214	-7.551	0.545	0.063	-0.036	-0.132	0.994	0.341	-1.861	-0.758	0.420	-0.798	449.439	69.943	-135.126	-1.571	0.000	-3.141	
0.004	-1.578	0.471	-1.006	-0.283	0.006	0.00001	0.00098	0.00000	492	-0.093	52.427	-6.207	-7.589	0.538	0.061	-0.035	-0.132	0.994	0.341	-1.861	-0.758	0.420	-0.798	449.440	69.942	-135.125	-1.571	0.000	-3.141	
0.151	-1.631	0.477	-1.041	-0.350	0.001	0.00000	0.00035	0.00000	757	0.618	52.517	-5.834	-7.536	0.634	0.110	0.135	-0.132	0.994	0.341	-1.861	-0.758	0.420	-0.798	449.440	69.942	-135.125	-1.571	0.000	-3.141	
-0.670	-1.774	0.920	-1.068	0.096	0.169	0.00720	3.77011	0.00005	992	0.259	52.388	-5.920	-7.211	0.615	0.123	0.139	-0.137	0.994	0.341	-1.862	-0.759	0.420	-0.803	449.428	66.172	-135.111	-1.571	0.000	-3.141	
-0.283	-1.828	1.082	-1.031	-0.161	0.109	0.02026	6.25579	0.00008	1274	-0.085	52.603	-6.214	-7.482	0.551	0.067	0.101	-0.153	0.993	0.341	-1.865	-0.762	0.418	-0.815	449.396	59.917	-135.074	-1.571	0.000	-3.141	
-0.316	-1.710	1.060	-0.974	-0.125	0.105	0.00158	0.11923	0.00022	1521	-0.110	52.559	-6.186	-7.469	0.548	0.067	0.099	-0.154	0.993	0.341	-1.865	-0.763	0.418	-0.816	449.315	59.941	-135.157	-1.571	0.000	-3.142	
-0.911	-1.703	0.951	-0.973	0.209	0.191	0.00008	0.38270	0.00018	1770	0.297	52.461	-5.972	-7.361	0.607	0.151	0.152	-0.154	0.993	0.341	-1.865	-0.763	0.418	-0.816	449.336	59.559	-135.146	-1.571	0.000	-3.142	
-0.535	-1.953	1.042	-1.136	0.004	0.168	0.01792	7.08418	0.00023	2051	0.333	52.760	-6.075	-7.530	0.559	0.125	0.103	-0.168	0.993	0.341	-1.868	-0.765	0.417	-0.827	449.339	52.474	-135.118	-1.571	-0.000	3.142	
-0.322	-1.866	1.198	-1.082	-0.118	0.100	0.01129	2.51874	0.00048	2330	-0.005	52.430	-6.191	-7.434	0.547	0.121	0.097	-0.176	0.992	0.341	-1.869	-0.766	0.416	-0.834	449.423	49.957	-135.107	-1.571	0.000	-3.141	
-0.263	-1.825	1.128	-1.075	-0.149	0.095	0.00012	0.07141	0.00013	2580	0.690	52.474	-5.924	-7.334	0.595	0.118	0.163	-0.176	0.992	0.341	-1.869	-0.766	0.416	-0.834	449.483	49.919	-135.097	-1.571	0.000	-3.141	
-0.875	-1.899	1.372	-1.045	0.179	0.176	0.00717	3.69196	0.00034	2815	-0.450	52.450	-6.577	-7.227	0.565	0.185	0.167	-0.182	0.992	0.341	-1.870	-0.767	0.416	-0.838	449.333	46.231	-135.125	-1.571	-0.000	3.142	
-0.499	-2.083	1.244	-1.164	-0.038	0.102	0.02068	6.35826	0.00007	3097	0.121	52.535	-6.106	-7.353	0.534	0.063	0.086	-0.198	0.991	0.341	-1.872	-0.769	0.415	-0.851	449.330	39.872	-135.127	-1.571	-0.000	3.142	
-0.454	-1.766	1.228	-0.948	-0.051	0.102	0.00177	0.10585	0.00036	3345	-0.032	52.298	-6.192	-7.329	0.526	0.066	0.086	-0.199	0.991	0.341	-1.872	-0.769	0.414	-0.852	449.384	39.963	-135.119	-1.571	0.000	-3.141	
-0.694	-1.866	1.351	-0.962	0.128	0.182	0.00008	0.24035	0.00021	3534	0.372	52.457	-5.938	-7.287	0.593	0.132	0.166	-0.199	0.991	0.341	-1.872	-0.769	0.414	-0.852	449.382	39.723	-135.123	-1.571	0.000	-3.141	
-0.571	-1.900	1.344	-1.030	0.076	0.186	0.01749	6.85760	0.00011	3815	0.171	52.377	-6.059	-7.469	0.540	0.146	0.099	-0.212	0.991	0.341	-1.873	-0.771	0.414	-0.864	449.369	32.865	-135.114	-1.571	0.000	-3.142	
-0.482	-1.976	1.279	-1.086	-0.040	0.089	0.01244	2.92474	0.00029	4094	-0.004	52.388	-6.178	-7.300	0.530	0.129	0.080	-0.221	0.991	0.341	-1.874	-0.772	0.413	-0.872	449.412	29.941	-135.109	-1.571	0.000	-3.141	
-0.243	-1.973	1.260	-1.089	-0.129	0.089	0.00004	0.02320	0.00006	4362	0.827	52.346	-5.774	-7.134	0.556	0.101	0.173	-0.221	0.991	0.341	-1.874	-0.772	0.413	-0.872	449.408	29.918	-135.111	-1.571	0.000	-3.141	
-0.330	-2.000	1.449	-1.049	0.008	0.173	0.00802	3.94148	0.00035	4610	0.536	52.316	-5.830	-7.341	0.589	0.125	0.185	-0.227	0.991	0.341	-1.874	-0.772	0.413	-0.877	449.288	25.978	-135.144	-1.571	-0.000	3.141	
-0.523	-1.877	1.383	-0.980	0.000	0.140	0.02076	6.11141	0.00025	4888	0.089	52.389	-6.157	-7.273	0.533	0.057	0.125	-0.243	0.990	0.341	-1.875	-0.774	0.412	-0.891	449.411	19.868	-135.136	-1.571	0.000	-3.141	
-0.632	-1.714	1.513	-0.865	0.053	0.136	0.00157	0.06249	0.00019	5139	0.187	52.385	-6.120	-7.289	0.527	0.062	0.120	-0.244	0.990	0.341	-1.876	-0.774	0.412	-0.892	449.406	19.930	-135.137	-1.571	0.000	-3.141	
-0.970	-1.685	1.665	-0.807	0.272	0.194	0.00004	0.23874	0.00007	5373	0.008	52.224	-6.368	-7.124	0.563	0.130	0.170	-0.244	0.990	0.341	-1.876	-0.774	0.412	-0.892	449.404	19.692	-135.137	-1.571	0.000	-3.141	
-1.789	-1.760	1.607	-0.844	0.600	0.213	0.01830	7.00305	0.00033	5655	0.516	52.463	-5.939	-7.473	0.573	0.135	0.134	-0.257	0.990	0.341	-1.876	-0.774	0.412	-0.905	449.354	12.689	-135.112	-1.571	-0.000	3.142	
-0.486	-1.901	1.369	-1.017	-0.006	0.112	0.01250	2.78310	0.00025	5935	0.133	52.340	-6.149	-7.311	0.534	0.130	0.091	-0.266	0.990	0.341	-1.877	-0.775	0.412	-0.913	449.305	9.906	-135.120	-1.570	-0.000	3.142	
-0.382	-1.900	1.357	-1.028	-0.059	0.107	0.00007	0.03855	0.00009	6184	0.290	52.326	-6.117	-7.292	0.534	0.128	0.161	-0.266	0.990	0.341	-1.877	-0.775	0.412	-0.913	449.314	9.869	-135.120	-1.571	-0.000	3.142	
