TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00000	0.00000	0.00000	449.447	69.936	-135.101	-1.571	0.000	-3.141	0	0.034	52.541	-6.260	-7.482	0.539	0.148	-0.049	-0.204	-2.206	0.428	-1.434	-0.321	-0.052	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.01808	0.00002	0.00003	449.461	69.937	-135.089	-1.571	0.000	-3.141	232	-0.015	52.377	-6.267	-7.510	0.531	0.142	-0.046	-0.164	-2.142	0.412	-1.406	-0.330	-0.049	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.07344	0.00009	0.00011	449.408	69.946	-135.139	-1.571	0.000	-3.141	512	-0.017	52.622	-6.331	-7.606	0.531	0.147	-0.040	-0.120	-2.072	0.419	-1.371	-0.334	-0.045	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.00168	0.00001	0.00000	449.407	69.947	-135.140	-1.571	0.000	-3.141	750	0.883	53.090	-6.050	-7.812	0.631	0.186	0.151	-1.175	-1.822	0.833	-1.089	0.219	0.068	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
5.07945	0.01121	0.00012	449.337	64.868	-135.107	-1.571	0.000	-3.142	1025	0.233	52.649	-6.214	-7.240	0.626	0.157	0.140	-0.927	-1.979	0.890	-1.215	0.101	0.145	-0.151	0.997	0.355	-1.863	-0.783	0.426	-0.788	
5.01306	0.01796	0.00022	449.311	59.855	-135.117	-1.571	-0.000	3.142	1311	-0.003	52.469	-6.293	-7.398	0.565	0.146	0.110	-0.432	-2.210	0.695	-1.357	-0.196	0.078	-0.165	0.996	0.355	-1.865	-0.786	0.425	-0.798	
0.02281	0.00013	0.00007	449.324	59.873	-135.115	-1.571	-0.000	3.142	1560	0.262	52.606	-6.156	-7.488	0.563	0.138	0.108	-0.505	-2.098	0.860	-1.301	-0.168	0.073	-0.165	0.996	0.355	-1.865	-0.786	0.425	-0.798	
2.32121	0.00325	0.00019	449.313	57.552	-135.154	-1.571	-0.000	3.141	1795	0.344	52.856	-6.310	-7.867	0.651	0.207	0.139	-0.422	-2.190	0.892	-1.357	-0.151	0.123	-0.168	0.996	0.355	-1.866	-0.786	0.425	-0.801	
6.97428	0.02052	0.00020	449.400	50.579	-135.097	-1.571	-0.000	-3.142	2075	-0.253	52.364	-6.448	-7.364	0.570	0.163	0.115	-0.768	-1.858	0.855	-1.174	0.004	0.127	-0.183	0.996	0.355	-1.868	-0.789	0.423	-0.813	
0.66020	0.00539	0.00020	449.446	49.920	-135.097	-1.571	0.000	-3.141	2338	0.009	52.402	-6.315	-7.311	0.555	0.137	0.104	-0.572	-1.980	0.975	-1.217	-0.109	0.086	-0.187	0.995	0.355	-1.869	-0.789	0.423	-0.816	
0.39616	0.00011	0.00012	449.395	49.528	-135.113	-1.571	0.000	-3.142	2590	0.051	52.600	-6.230	-7.409	0.638	0.163	0.155	-0.699	-1.890	1.099	-1.144	0.032	0.161	-0.188	0.995	0.355	-1.869	-0.789	0.423	-0.816	
7.04296	0.01841	0.00016	449.338	42.485	-135.138	-1.571	0.000	3.142	2873	-1.014	52.510	-6.990	-7.199	0.589	0.202	0.130	-1.160	-1.947	1.262	-1.116	0.223	0.170	-0.201	0.995	0.355	-1.871	-0.791	0.422	-0.828	
2.59374	0.01116	0.00025	449.304	39.891	-135.116	-1.571	-0.000	3.142	3154	-0.020	52.492	-6.406	-7.297	0.561	0.149	0.082	-0.598	-2.078	0.823	-1.239	-0.102	0.078	-0.210	0.995	0.355	-1.872	-0.792	0.421	-0.835	
0.02977	0.00009	0.00007	449.302	39.862	-135.118	-1.571	-0.000	3.142	3377	0.731	52.364	-6.090	-7.401	0.618	0.162	0.160	-0.842	-1.986	1.041	-1.131	0.063	0.113	-0.210	0.995	0.355	-1.872	-0.792	0.421	-0.835	
4.76755	0.01048	0.00023	449.258	35.094	-135.127	-1.571	-0.000	3.141	3640	0.477	52.391	-6.272	-7.328	0.617	0.180	0.157	-1.231	-2.005	1.133	-1.135	0.238	0.170	-0.218	0.995	0.355	-1.873	-0.793	0.421	-0.842	
5.22980	0.01935	0.00041	449.425	29.867	-135.122	-1.571	0.000	-3.141	3922	0.114	52.451	-6.318	-7.310	0.573	0.083	0.087	-0.614	-2.052	1.134	-1.172	-0.093	0.103	-0.232	0.994	0.355	-1.874	-0.795	0.420	-0.855	
0.05236	0.00032	0.00014	449.439	29.914	-135.104	-1.571	0.000	-3.141	4190	0.327	52.445	-6.197	-7.304	0.574	0.086	0.093	-0.690	-1.912	1.116	-1.082	-0.048	0.097	-0.232	0.994	0.355	-1.874	-0.795	0.420	-0.855	
2.35992	0.00331	0.00031	449.337	27.557	-135.147	-1.571	0.000	3.142	4423	0.073	52.157	-6.490	-7.202	0.593	0.182	0.157	-1.459	-1.903	1.208	-1.023	0.355	0.185	-0.235	0.994	0.355	-1.874	-0.795	0.420	-0.857	
6.98550	0.02164	0.00008	449.385	20.571	-135.127	-1.571	-0.000	-3.142	4703	0.093	52.266	-6.299	-7.272	0.573	0.150	0.110	-1.307	-1.827	1.127	-1.007	0.308	0.169	-0.251	0.994	0.355	-1.875	-0.796	0.419	-0.871	
0.66820	0.00534	0.00018	449.351	19.904	-135.131	-1.571	-0.000	-3.142	4969	0.218	52.275	-6.283	-7.238	0.559	0.139	0.097	-0.838	-1.959	1.113	-1.105	0.067	0.109	-0.255	0.994	0.355	-1.876	-0.797	0.419	-0.875	
0.42381	0.00011	0.00012	449.355	19.480	-135.129	-1.571	-0.000	3.142	5219	0.609	52.316	-6.093	-7.308	0.627	0.145	0.159	-1.273	-1.830	1.166	-0.967	0.337	0.189	-0.255	0.994	0.355	-1.876	-0.797	0.419	-0.875	
7.00897	0.01905	0.00013	449.328	12.471	-135.136	-1.571	-0.000	3.141	5501	-0.880	52.385	-6.975	-7.137	0.585	0.195	0.133	-1.443	-1.750	1.324	-0.929	0.433	0.203	-0.269	0.994	0.355	-1.876	-0.797	0.419	-0.888	
2.56114	0.01166	0.00014	449.304	9.910	-135.123	-1.571	-0.000	3.142	5784	0.192	52.317	-6.362	-7.299	0.570	0.159	0.113	-0.935	-1.962	1.097	-1.094	0.109	0.130	-0.277	0.993	0.355	-1.877	-0.798	0.419	-0.896	
0.04844	0.00011	0.00008	449.334	9.874	-135.114	-1.571	-0.000	3.142	6004	1.035	52.274	-5.913	-7.311	0.571	0.120	0.159	-0.912	-1.835	1.222	-0.993	0.180	0.151	-0.277	0.993	0.355	-1.877	-0.798	0.419	-0.896	
