TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00000	0.00000	0.00000	449.413	69.923	-135.124	-1.571	0.000	-3.141	1	0.214	52.638	-6.291	-7.604	0.531	0.129	-0.038	-0.304	-1.900	0.675	-1.213	-0.174	-0.018	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.00286	0.00001	0.00001	449.415	69.925	-135.124	-1.571	0.000	-3.141	217	-0.063	52.638	-6.483	-7.633	0.529	0.131	-0.034	-0.157	-1.810	0.652	-1.184	-0.232	-0.018	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.00190	0.00001	0.00000	449.417	69.926	-135.124	-1.571	0.000	-3.141	498	-0.030	52.462	-6.407	-7.534	0.526	0.128	-0.033	-0.187	-1.835	0.503	-1.184	-0.219	-0.016	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
0.00098	0.00000	0.00000	449.417	69.927	-135.124	-1.571	0.000	-3.141	737	0.936	52.691	-6.050	-7.632	0.615	0.163	0.120	-0.836	-1.623	0.862	-0.981	0.143	0.054	-0.143	0.998	0.355	-1.861	-0.781	0.427	-0.781	
4.92367	0.01086	0.00011	449.445	65.004	-135.048	-1.571	0.000	-3.141	1001	0.437	52.591	-6.138	-7.105	0.595	0.110	0.131	-0.962	-1.912	1.096	-1.102	0.187	0.158	-0.151	0.997	0.355	-1.863	-0.783	0.426	-0.788	
5.17598	0.01823	0.00032	449.326	59.830	-135.113	-1.571	-0.000	3.142	1283	-0.121	52.637	-6.453	-7.491	0.529	0.137	0.104	-0.409	-1.974	0.996	-1.192	-0.132	0.081	-0.165	0.996	0.355	-1.865	-0.785	0.425	-0.798	
0.05573	0.00017	0.00011	449.372	59.861	-135.106	-1.571	-0.000	-3.142	1563	0.117	52.605	-6.335	-7.443	0.540	0.126	0.105	-0.511	-1.962	1.153	-1.148	-0.066	0.085	-0.165	0.996	0.355	-1.865	-0.785	0.425	-0.799	
2.29942	0.00316	0.00018	449.339	57.563	-135.152	-1.571	0.000	3.142	1752	0.386	52.816	-6.350	-7.903	0.652	0.198	0.131	-0.657	-2.077	1.202	-1.207	0.019	0.144	-0.167	0.996	0.355	-1.866	-0.786	0.425	-0.801	
7.04927	0.02082	0.00010	449.371	50.514	-135.117	-1.571	-0.000	-3.142	2035	-0.191	52.345	-6.449	-7.304	0.552	0.143	0.104	-0.767	-1.855	1.149	-1.094	0.070	0.127	-0.184	0.996	0.355	-1.868	-0.789	0.423	-0.813	
0.60793	0.00517	0.00022	449.454	49.912	-135.097	-1.571	0.000	-3.141	2316	0.008	52.518	-6.405	-7.451	0.543	0.130	0.099	-0.553	-1.945	1.127	-1.124	-0.045	0.094	-0.187	0.995	0.355	-1.869	-0.789	0.423	-0.816	
0.30107	0.00008	0.00010	449.408	49.614	-135.110	-1.571	0.000	-3.141	2553	-0.027	52.537	-6.572	-7.353	0.627	0.171	0.133	-0.502	-2.022	1.327	-1.151	-0.012	0.153	-0.187	0.995	0.355	-1.869	-0.789	0.423	-0.816	
6.94654	0.01801	0.00007	449.358	42.668	-135.140	-1.571	0.000	-3.141	2835	-1.550	52.426	-7.321	-6.992	0.573	0.187	0.127	-0.991	-2.074	1.479	-1.107	0.212	0.172	-0.201	0.995	0.355	-1.871	-0.791	0.422	-0.828	
2.72536	0.01160	0.00017	449.385	39.943	-135.112	-1.571	0.000	-3.141	3118	-0.112	52.383	-6.479	-7.266	0.560	0.133	0.092	-0.461	-1.996	0.994	-1.136	-0.073	0.104	-0.210	0.995	0.355	-1.872	-0.792	0.421	-0.835	
0.03178	0.00008	0.00006	449.381	39.912	-135.114	-1.571	0.000	-3.141	3342	0.481	52.396	-6.248	-7.171	0.598	0.120	0.138	-1.016	-1.848	1.358	-0.983	0.231	0.139	-0.210	0.995	0.355	-1.872	-0.792	0.421	-0.835	
4.87412	0.01068	0.00040	449.289	35.038	-135.123	-1.571	-0.000	3.141	3601	0.544	52.412	-6.301	-7.347	0.617	0.162	0.146	-1.256	-1.956	1.438	-1.038	0.316	0.180	-0.218	0.994	0.355	-1.873	-0.793	0.421	-0.842	
5.16953	0.01921	0.00039	449.447	29.871	-135.108	-1.571	0.000	-3.141	3885	0.065	52.470	-6.425	-7.351	0.552	0.073	0.092	-0.696	-1.805	1.281	-0.985	0.021	0.113	-0.232	0.994	0.355	-1.874	-0.795	0.420	-0.855	
0.04373	0.00029	0.00009	449.444	29.915	-135.105	-1.571	0.000	-3.141	4166	0.427	52.381	-6.237	-7.319	0.554	0.075	0.112	-0.675	-1.824	1.327	-0.973	0.029	0.109	-0.232	0.994	0.355	-1.874	-0.795	0.420	-0.855	
2.68780	0.00421	0.00043	449.323	27.230	-135.150	-1.571	-0.000	3.142	4415	0.323	52.090	-6.375	-7.084	0.591	0.153	0.150	-1.070	-1.949	1.550	-0.990	0.299	0.185	-0.235	0.994	0.355	-1.874	-0.795	0.420	-0.858	
6.88657	0.02139	0.00023	449.371	20.344	-135.135	-1.571	-0.000	3.142	4696	0.112	52.262	-6.386	-7.199	0.555	0.136	0.112	-1.240	-1.866	1.381	-0.960	0.343	0.166	-0.251	0.994	0.355	-1.875	-0.796	0.419	-0.872	
0.46449	0.00468	0.00009	449.329	19.881	-135.137	-1.571	-0.000	3.142	4976	0.160	52.360	-6.399	-7.247	0.542	0.132	0.107	-0.875	-1.887	1.339	-0.994	0.171	0.132	-0.255	0.994	0.355	-1.876	-0.796	0.419	-0.875	
