TRANS_DIST	JS_DIST	ROT_DIST	X	Y	Z	A	B	C	TIME	MT0	MT1	MT2	MT3	MT4	MT5	MT6	FX	FY	FZ	TA	TB	TC	J0	J1	J2	J3	J4	J5	J6	
0.00000	0.00000	0.00000	449.336	69.807	-135.139	-1.571	-0.000	3.142	0	-0.351	52.435	-6.422	-7.535	0.323	-0.005	0.101	0.455	-1.409	0.752	-0.850	-0.545	-0.009	-0.143	0.998	0.354	-1.861	-0.781	0.427	-0.781	
0.02622	0.00008	0.00009	449.353	69.826	-135.135	-1.571	-0.000	3.142	244	-0.418	52.592	-6.440	-7.604	0.327	0.017	0.084	0.499	-1.508	0.653	-0.965	-0.578	-0.033	-0.143	0.998	0.354	-1.861	-0.781	0.427	-0.781	
0.02650	0.00008	0.00007	449.372	69.846	-135.135	-1.571	-0.000	-3.142	518	2.148	52.544	-5.177	-7.510	0.324	-0.009	0.164	0.579	-1.575	0.663	-0.997	-0.619	-0.037	-0.143	0.998	0.354	-1.861	-0.781	0.427	-0.781	
3.59332	0.00702	0.00031	449.497	66.254	-135.120	-1.571	0.000	-3.141	748	0.382	52.510	-6.296	-7.493	0.525	0.115	0.159	-0.441	-1.819	1.086	-1.002	-0.037	0.137	-0.148	0.997	0.354	-1.862	-0.782	0.426	-0.785	
6.39229	0.02006	0.00026	449.328	59.864	-135.137	-1.571	-0.000	-3.142	1030	0.048	52.603	-6.411	-7.341	0.459	0.097	0.117	-0.466	-1.829	1.143	-1.054	-0.081	0.080	-0.164	0.997	0.354	-1.865	-0.785	0.425	-0.797	
0.11703	0.00181	0.00018	449.441	59.896	-135.128	-1.571	0.000	-3.141	1232	-0.126	52.851	-6.463	-7.432	0.561	0.111	0.152	-1.190	-1.537	1.375	-0.814	0.326	0.143	-0.165	0.996	0.354	-1.865	-0.785	0.425	-0.798	
5.94476	0.01396	0.00012	449.364	53.951	-135.114	-1.571	0.000	-3.141	1510	-0.602	52.450	-6.688	-7.444	0.551	0.144	0.152	-1.142	-1.676	1.403	-0.900	0.293	0.163	-0.176	0.996	0.354	-1.867	-0.787	0.424	-0.807	
4.11241	0.01563	0.00034	449.420	49.839	-135.090	-1.570	-0.000	-3.141	1792	-0.005	52.580	-6.412	-7.395	0.499	0.114	0.106	-0.554	-1.874	1.211	-1.068	-0.046	0.097	-0.188	0.995	0.354	-1.869	-0.789	0.423	-0.817	
1.17958	0.00054	0.00039	449.351	48.663	-135.128	-1.571	-0.000	3.142	1994	0.308	52.196	-6.313	-7.432	0.567	0.148	0.147	-0.548	-1.952	1.327	-1.052	0.028	0.148	-0.188	0.995	0.354	-1.869	-0.789	0.423	-0.817	
7.10142	0.02034	0.00015	449.345	41.561	-135.139	-1.571	-0.000	-3.142	2278	0.351	52.220	-6.231	-7.334	0.520	0.112	0.131	-0.219	-1.992	1.229	-1.100	-0.116	0.141	-0.203	0.995	0.354	-1.871	-0.791	0.422	-0.830	
